1,Alstroemeria,"The alstroemeria flower, otherwise known as the Peruvian Lily, has a variety of meanings depending upon the colour you choose.  Widely regarded as the meaning of friendship, love, devotion & strength, they’re also thought to represent mutual support.  They are the perfect flower to say “I love you”, “thank you for being my rock” or “I’ve got your back”.

Typically considered a friendship flower, in recent years they have also become a romantic flower and are the perfect alternative for a “red rose free” declaration.

Alstroemeria has no scent and is ideal for those with allergies.",
2,Calla Lily,"The name Calla Lily was named after the Greek word for beautiful; calla and is associated with the Greek goddess Hera.  Widely associated with love, beauty purity, holiness and faithfulness it is a widely available flower throughout the year with a sumptuous array of colours including yellow, white, pink & purple.

The calla lily is the sixth wedding anniversary flower; symbolizing the beauty of a couple’s love.",https://lh3.googleusercontent.com/pw/AP1GczP2UV6r4JQBrroNcSOsCZ83fWWYxMj93QWxztkF9rt2FOQrfCbCyEAD782mzonFUKpF9MUysBjGyxpB-d4dcKS8hE6jG06mNUJRMSLKFkddAVbEkjpyLmXuz-j0jcO36CwrzoUvgv_AwmkjKxR5Ud8ahQ=w500-h500-s-no-gm
3,Daisy,"Daisies are a bright and fun flower. The petals come in a variety of colors, including white, blue, and lavender. Daisies feature a yellow central disc with a long stem.",https://lh3.googleusercontent.com/pw/AP1GczPkotTZ_ACh85kZQH7fd599KnLsdFEUhWv_iH0rZyYNsKVYbd198yrwjDZu2j2PmYPu9hd7y46_29O0VuuSncJDSKkUSDj03eNBZgARS0d2uh1OWv2_rHOyTSQg8VTQUcklx8LJpSaCejg6HXeBmV7CoA=w500-h500-s-no-gm
4,Gardenia,,
5,Carnation,,
6,Gerbera Daisy,,https://lh3.googleusercontent.com/pw/AP1GczM0litgPwwfPAJrRQ2XCI2hC1f9WgEfA_GDiLl2sqadH2Gysxw8n-L9l8KjyLjUlJpy90kXjtz6hyy-cgmo-CVdo7YDJYpI-tZSbIdy4czSRteMtRhPoph_GuQauxjO94YmWAJokGKLYoFZJb878wlsHQ=w500-h500-s-no-gm
7,Orchid,,https://lh3.googleusercontent.com/pw/AP1GczPTrckhIBhzzoEqMJ7w51FSIu5fKto8N59JM3uwqC2W_mwW4yTz0awWgJAuKSETICJ6rikeOmn-sr2zHdjp82WIDDC1MsxK-hY-ep3rcGn-BJ0221jE7KO_qFhd08BntUfQ-xKRKf7JOorpK2iadiWWUw=w500-h500-s-no-gm
8,Tulip,,https://lh3.googleusercontent.com/pw/AP1GczO4qKDBrDjYpOEKjEieAvxm4OkUPbmp2gCyrg29t_FAZbNvQXriJv27nzy7W0T2eRccvdc-b2WcN-fuR_omCHX7-jVpZHMb-TvpUGPFbgBn3kDVYAP3hQBBameiUJ3nKFrjMz1MMD1hzYhiWL8dyu78CQ=w500-h500-s-no-gm
9,Peony,,https://lh3.googleusercontent.com/pw/AP1GczPbMzT1Y9dOU1Y58hA9xtcr72Y4fAcy8fnQCH511IPbfI09Ucbis0hR68ol5bFhMU0lyTEOKdMqApvlT5b1ZlQY8pbFqUeKYWP8K7Wpq-FaZdR7wOW-nXR5YQUkTyXY1shdBxIhIopFmuohcghGf2kEhg=w500-h500-s-no-gm
10,Dahlia,"Mexico’s national flower, many believe the Dahlia was named after Swedish botanist Anders Dahl.  It is affectionately known as “queen of the autumn garden” because they bloom longer than most other garden plant varieties.

Symbolically known for finding inner strength, remaining graceful and for standing out from the crowd, dahlias make the best gift for someone you perceive as a strong person or admire.

Victorian’s believed dahlias to symbolize a lasting bond and lifelong commitment between two people and as such, make for a wonderful gift.",https://lh3.googleusercontent.com/pw/AP1GczN60g84L4JMOk-VDh-MuqSRmwjFoHa3M4PeZFBiRGJH1Mel_DdKo2No_62M_34SjlioWwSVxUAFnemJjKi_17S22k_Q-O0vkG-VABlqzGPsr8ThDwK1KojArCYFn61VoMSvwjSZuPLic9w2QF8IRPUO9A=w500-h500-s-no-gm
